rank,channel_index,probability,true_label
155,15907,0.8777600429162511,0
156,7782,0.8777312153830843,1
157,13589,0.8777308550669739,1
158,16739,0.8772445031377886,1
159,9609,0.8766353117900442,0
160,15609,0.8765545515042226,0
161,11126,0.8763837437201424,1
162,4119,0.8753801439793275,1
163,14256,0.8734777719086076,1
164,4216,0.8733880902532424,1
165,229,0.8726505576032392,0
166,7716,0.8715937387695929,0
167,16535,0.8712679529841012,1
168,171,0.8700076281129144,0
169,8487,0.8693730056189042,0
170,6212,0.8692883259511583,1
171,16897,0.8688512122436892,0
172,7598,0.8688466301148676,0
173,14508,0.8685995680192475,1
174,16159,0.8685962911842221,0
175,18712,0.8680174205418848,1
176,11646,0.867146952987897,0
177,7375,0.8668709503382153,0
178,8889,0.8661909138359984,1
179,7950,0.8660821651654956,0
180,14221,0.8658023236967929,0
181,16104,0.8655550049999587,0
182,7657,0.8655294611225255,0
183,11518,0.865035179197355,0
184,3223,0.8645553429904899,0
185,5681,0.8623955669596194,1
186,15511,0.8605725958073376,0
187,3057,0.8605687321449278,0
188,12130,0.8602985615670613,1
189,14510,0.8599442767667279,0
190,14384,0.8597847995786689,0
191,17867,0.8596251587546021,0
192,7152,0.8594413488182063,1
193,3888,0.8573433974742191,1
194,11467,0.8560437196305892,0
195,5882,0.8557775114612333,1
196,17909,0.8549023359927578,1
197,7275,0.8546930937669611,1
198,9595,0.8539456524488734,0
199,14603,0.8537003596234705,0
200,8373,0.8536722813932596,0
201,7091,0.8533619246538352,0
202,16619,0.8524751252999907,1
203,16639,0.8523415844389041,0
204,10057,0.8521934567727986,0
205,16770,0.8501268809875867,0
206,3724,0.8495765776132345,1
207,5820,0.849500040149809,1
208,17779,0.8490175117037513,0
209,4292,0.8489499700881297,0
210,14634,0.848680989181567,1
211,10061,0.8485877599022967,1
212,5562,0.8485458598092168,1
213,2427,0.8485404858169218,0
214,9736,0.8483371796176986,0
215,8885,0.848289404584633,1
216,17422,0.8481827723459923,1
217,17144,0.8477998520406586,1
218,4782,0.8470937592968216,0
219,15556,0.8464662718383914,0
220,9593,0.8462082244376076,0
221,4361,0.8461793524336494,0
222,5544,0.8454951546274834,1
223,1020,0.8454274782700713,0
224,10996,0.8453226113139226,0
225,15260,0.8448732601051264,1
226,916,0.8434923925719238,1
227,5154,0.842896537143889,1
228,16803,0.8414981248660017,1
229,5712,0.841303487359715,0
230,12707,0.8404419217824738,1
